"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2012","3,160.5","3,428.5","3,476.5","3,028.5","2.97M","-7.71%"
"03/01/2012","3,424.5","3,442.5","3,650.0","3,344.0","2.61M","-0.77%"
"02/01/2012","3,451.0","3,315.0","3,491.5","3,307.0","2.17M","4.50%"
"01/01/2012","3,302.5","3,148.5","3,370.0","3,113.5","1.80M","4.33%"
"12/01/2011","3,165.5","3,170.0","3,244.0","2,928.0","1.79M","0.46%"
"11/01/2011","3,151.0","3,209.0","3,224.0","2,789.5","2.35M","-2.60%"
"10/01/2011","3,235.0","2,918.5","3,408.0","2,808.5","2.63M","8.47%"
"09/01/2011","2,982.5","3,256.0","3,291.5","2,693.5","3.08M","-8.27%"
"08/01/2011","3,251.5","3,710.0","3,730.5","2,888.0","4.42M","-11.49%"
"07/01/2011","3,673.5","3,991.5","4,028.0","3,623.5","3.25M","-7.69%"
"06/01/2011","3,979.5","4,013.5","4,013.5","3,742.0","3.18M","-0.26%"
"05/01/2011","3,990.0","4,087.5","4,094.5","3,847.5","3.16M","-1.58%"
"04/01/2011","4,054.0","4,009.5","4,072.5","3,793.0","2.50M","1.58%"
"03/01/2011","3,991.0","4,131.0","4,147.5","3,629.5","3.80M","-2.90%"
"02/01/2011","4,110.0","4,021.0","4,170.0","3,973.5","2.78M","2.60%"
"01/01/2011","4,006.0","3,845.0","4,080.5","3,790.5","2.97M","5.16%"
"12/01/2010","3,809.5","3,630.0","3,940.0","3,619.0","2.38M","5.50%"
"11/01/2010","3,611.0","3,848.0","3,943.0","3,590.5","3.23M","-5.33%"
"10/01/2010","3,814.5","3,731.0","3,883.0","3,629.0","2.98M","2.82%"
"09/01/2010","3,710.0","3,494.5","3,827.5","3,494.5","1.88M","6.44%"
"08/01/2010","3,485.5","3,677.0","3,803.5","3,402.5","2.83M","-4.28%"
"07/01/2010","3,641.5","3,370.0","3,722.0","3,319.0","3.10M","5.80%"
"06/01/2010","3,442.0","3,470.0","3,763.0","3,331.5","3.63M","-1.56%"
"05/01/2010","3,496.5","3,718.5","3,792.0","3,185.5","4.32M","-6.59%"
"04/01/2010","3,743.0","3,998.5","4,148.0","3,674.5","3.03M","-5.75%"
"03/01/2010","3,971.5","3,736.0","4,029.0","3,724.5","2.81M","7.08%"
"02/01/2010","3,709.0","3,700.0","3,831.5","3,528.0","2.96M","-0.79%"
"01/01/2010","3,738.5","3,950.5","4,089.0","3,678.5","2.58M","-5.15%"
"12/01/2009","3,941.5","3,706.0","3,978.0","3,705.0","2.09M","7.27%"
"11/01/2009","3,674.5","3,585.5","3,868.0","3,534.5","2.74M","2.37%"
"10/01/2009","3,589.5","3,802.5","3,908.5","3,562.5","3.20M","-5.46%"
"09/01/2009","3,797.0","3,683.5","3,858.5","3,528.0","3.09M","3.52%"
"08/01/2009","3,668.0","3,445.5","3,726.0","3,393.5","2.62M","7.17%"
"07/01/2009","3,422.5","3,148.5","3,456.5","2,956.5","2.97M","9.14%"
"06/01/2009","3,136.0","3,309.0","3,398.0","3,093.0","2.94M","-3.98%"
"05/01/2009","3,266.0","3,148.0","3,340.0","3,060.5","2.21M","4.65%"
"04/01/2009","3,121.0","2,715.0","3,156.5","2,690.0","1.84M","13.28%"
"03/01/2009","2,755.0","2,648.0","2,918.0","2,464.5","2.69M","2.00%"
"02/01/2009","2,701.0","2,942.5","3,147.0","2,643.0","2.94M","-9.07%"
"01/01/2009","2,970.5","3,244.5","3,431.0","2,769.0","2.78M","-7.78%"
"12/01/2008","3,221.0","3,250.0","3,346.5","2,954.0","2.44M","-1.32%"
"11/01/2008","3,264.0","3,499.0","3,697.5","2,842.0","3.22M","-5.92%"
"10/01/2008","3,469.5","4,082.5","4,130.0","2,950.0","5.24M","-14.24%"
"09/01/2008","4,045.5","4,464.5","4,563.0","3,739.5","4.08M","-9.80%"
"08/01/2008","4,485.0","4,377.5","4,555.0","4,273.0","2.56M","1.87%"
"07/01/2008","4,402.5","4,429.0","4,466.0","4,002.5","3.46M","-0.93%"
